,RM,Ano,ETANOL,GASOLINA,Relacao
156,Região Metropolitana de Salvador,2015,2.598901443592951,3.542165734265754,0.48420631586606944
157,Região Metropolitana de Salvador,2016,3.008004584527192,3.7470158430781146,0.3384278675908091
158,Região Metropolitana de Salvador,2017,3.0079941618014687,3.7240983743226423,0.3287803122374814
159,Região Metropolitana de Salvador,2018,3.3705010922534355,4.461172023614329,0.4366058937284535
160,Região Metropolitana de Salvador,2019,3.4500819145518506,4.4806349357449236,0.4055916726588786
161,Região Metropolitana de São Paulo,2013,1.8329243143862646,2.7292353782130943,0.6184064820897562
162,Região Metropolitana de São Paulo,2014,1.923211647214465,2.8556762680777554,0.6144976364166976
163,Região Metropolitana de São Paulo,2015,2.070780926661236,3.141017608384337,0.6436097096366815
164,Região Metropolitana de São Paulo,2016,2.4740066317303158,3.46700023195409,0.5283770949116754
165,Região Metropolitana de São Paulo,2017,2.5053780988344894,3.5186358163211406,0.5317839909258324
166,Região Metropolitana de São Paulo,2018,2.7184379511263286,4.169903676918914,0.6582915485708987
167,Região Metropolitana de São Paulo,2019,2.7178972859249155,4.125241622125919,0.6444663675677686
168,Região Metropolitana do Rio de Janeiro,2013,2.271829855825267,2.9677382815937015,0.41514008490178234
169,Região Metropolitana do Rio de Janeiro,2014,2.4361633668499234,3.101196272598214,0.3730933359516674
170,Região Metropolitana do Rio de Janeiro,2015,2.681641942369338,3.4864187826088457,0.40735258187747114
171,Região Metropolitana do Rio de Janeiro,2016,3.211989671277191,3.8852608273794558,0.293028310520759
172,Região Metropolitana do Rio de Janeiro,2017,3.283401648874324,4.041887450407212,0.31985682958157785
173,Região Metropolitana do Rio de Janeiro,2018,3.5171440278123365,4.833974191972807,0.49763990849203066
174,Região Metropolitana do Rio de Janeiro,2019,3.805197068663558,4.832317528054484,0.36921257401009955
175,Região Metropolitana do Vale do Rio Cuiabá,2013,1.9575615069194938,2.964592621060647,0.6415038310882236
176,Região Metropolitana do Vale do Rio Cuiabá,2014,2.042142732811125,3.0415263004940303,0.6187560774772818
177,Região Metropolitana do Vale do Rio Cuiabá,2015,2.077826109660536,3.3318536012526683,0.7118510606813535
178,Região Metropolitana do Vale do Rio Cuiabá,2016,2.5487572027239658,3.7080733176225262,0.5852155161632484
179,Região Metropolitana do Vale do Rio Cuiabá,2017,2.3957233560091042,3.7235238095238676,0.6749257013437708
180,Região Metropolitana do Vale do Rio Cuiabá,2018,2.6236210325857385,4.420785427666243,0.7630388883319217
181,Região Metropolitana do Vale do Rio Cuiabá,2019,2.5324053776683457,4.423659311198175,0.7947908520910019
182,Rio Branco,2013,2.6285793103448105,3.207434042553204,0.30627928571156005
183,Rio Branco,2014,2.8189817578772893,3.345793650793639,0.2650475218198586
184,Rio Branco,2015,3.039746971736204,3.7820386343216454,0.33654309965812407
185,Rio Branco,2016,3.330559888579373,4.026330197554083,0.2921487421415887
186,Rio Branco,2017,3.6414228432563713,4.283359633027548,0.25226110799581525
187,Rio Branco,2018,3.914697894736799,4.92349324324319,0.35367809771073455
188,Rio Branco,2019,3.929687645687617,4.7959895013123,0.3065737622218716
