Marca_Modelo,Quantidade
VW/PARATI CL 1.6 MI,18783.0
NISSAN/MARCH 10S,18761.0
I/RENAULT FLUENCE DYN20A,18716.0
VW/PARATI S,18643.0
FIAT/IDEA ADVENTURE FLEX,18643.0
I/VW JETTA 2.0,18626.0
I/TOYOTA HILUX CDSRVA4FD,18564.0
FORD/KA SE 1.5 SD C,18554.0
I/TOYOTA HILUX SWSRXA4FD,18420.0
HYUNDAI/CRETA 16A PULSE,18340.0
PEUGEOT/206 14 SENSAT FX,18285.0
GM/BLAZER,18268.0
VW/NOVO GOL TL MBV,18189.0
M.BENZ/MPOLO TORINO U,18186.0
HONDA/CITY LX CVT,18182.0
HYUNDAI/HB20X 1.6A PREMI,18166.0
FORD/FIESTA EDGE,18159.0
DAFRA/TVS APACHE RTR 150,18111.0
PEUGEOT/206 SELECTION,17977.0
FIAT/TORO VOLCANO AT D4,17943.0
FORD/ESCORT,17881.0
CHEVROLET/COBALT 18A LTZ,17787.0
I/HONDA CR-V EXL,17746.0
VW/SAVEIRO CD CROSS MA,17736.0
FIAT/BRAVA SX,17704.0
TOYOTA/ETIOS HB X 13L MT,17672.0
YAMAHA/T115 CRYPTON ED,17661.0
FORD/VERONA GLX,17659.0
I/FIAT CRONOS DRIVE 1.3,17656.0
HONDA/NXR125 BROS KS,17626.0
PEUGEOT/207PASSION XR S,17618.0
JEEP/COMPASS SPORT F,17607.0
VW/APOLLO GL,17606.0
TOYOTA/COROLLA XEI,17592.0
TOYOTA/COROLLA GLI UPPER,17552.0
VW/GOL SPECIAL MB,17542.0
GM/VECTRA SD EXPRESSION,17531.0
CHEVROLET/CRUZE LT HB,17498.0
CHEVROLET/ONIX 1.4AT LT,17477.0
YAMAHA/YBR125I FACTOR ED,17471.0
GM/OPALA DIPLOMATA,17444.0
FIAT/SIENA HLX FLEX,17415.0
I/SHINERAY XY50Q PHOENIX,17382.0
R/ISIDOC CIA 501,17350.0
I/VW TIGUAN 2.0 TSI,17305.0
TOYOTA/BANDEIRANTE,17233.0
RENAULT/SANDERO STEP 16,17191.0
FORD/VERONA LX,17161.0
VW/NOVO GOL 1.6,17142.0
DAFRA/CITYCOM 300I,17111.0
FORD/ECOSPORT XLS 1.6L,17110.0
I/VW AMAROK CD 4X4 HIGH,17103.0
GM/CORSA GLS,17072.0
FIAT/PALIO WEEKEND,17013.0
HONDA/CITY EX FLEX,16931.0
VW/GOL TL MB S,16876.0
VW/T CROSS CL TSI AD,16851.0
HONDA/CG 150 JOB,16847.0
VW/SANTANA 2.0,16838.0
FIAT/TEMPRA,16826.0
I/CHEV TRACKER PREMIER,16826.0
MMC/L200 4X4 GL,16826.0
VW/GOL CLI 1.8,16803.0
FORD/BELINA II L,16784.0
YAMAHA/T115 CRYPTON K,16781.0
I/HYUNDAI AZERA 3.3 V6,16706.0
VW/PARATI CL 1.8,16694.0
VW/FOX XTREME MB,16687.0
FIAT/UNO CS IE,16647.0
YAMAHA/XTZ150 CROSSER S,16594.0
R/FEDERAL LG,16583.0
FIAT/PALIO WEEK TREKKING,16547.0
I/FIAT SIENA EL 1.4 FLEX,16544.0
GM/BLAZER DLX,16534.0
VW/SAVEIRO 1.6 CE CROSS,16509.0
RENAULT/CLIO RL 1.0,16444.0
FIAT/SIENA ATTRACT 1.0,16433.0
FIAT/PALIO ESSENCE 1.6,16415.0
FIAT/STRADA WORKING CE,16395.0
FORD/KA SE 1.5 SD,16358.0
HONDA/CITY EXL CVT,16351.0
JTA/SUZUKI BURGMAN I,16349.0
FORD/CORCEL LUXO,16314.0
RENAULT/SANDERO ZEN10MT,16279.0
FIAT/ARGO DRIVE 1.3,16254.0
FIAT/PALIO SPORTING 1.6,16247.0
HONDA/ELITE 125,16195.0
FIAT/147 C,16184.0
VW/GOL PLUS MI,16161.0
HYUNDAI/IX35 GL,16157.0
I/GM CLASSIC SPIRIT,16152.0
HONDA/WR-V EXL CVT,16131.0
I/CHEV TRACKER LTZ AT,15993.0
VW/SAVEIRO CL 1.6 MI,15884.0
R/FEDERAL JET,15884.0
I/CHEV CRUZE LT NB AT,15881.0
TOYOTA/COROLLA XEI 20,15869.0
R/FEDERAL DF,15844.0
FIAT/UNO DRIVE 1.0,15838.0
FORD/JEEP,15742.0
GM/KADETT IPANEMA GL,15742.0
MMC/L200 OUTDOOR,15649.0
MERCEDES BENZ,15645.0
HONDA/XLX 250 R,15636.0
SUNDOWN/MAX 125 SED,15630.0
GM/ASTRA SEDAN ADVANTAGE,15621.0
RENAULT/CLIO AUT 1.0 H,15612.0
HONDA/NX 200,15570.0
FORD/ECOSPORT XLT2.0FLEX,15504.0
VW/PARATI GL 1.8,15493.0
FIAT/TORO FREEDOM AT6,15443.0
JEEP/RENEGADE SPORT MT,15424.0
VW/SANTANA 2000 MI,15356.0
NISSAN/VERSA 10,15345.0
RENAULT/MEGANEGT DYN 16,15340.0
DAFRA/ZIG 50,15302.0
VW/FOX 1.6,15255.0
FORD/ECOSPORT SE AT 1.5,15254.0
VW/GOLF 2.0,15252.0
VW/VOYAGE S,15189.0
RENAULT/SCENIC RXE 2.0,15143.0
SR/RANDON,15137.0
FORD/DEL REY GHIA,15129.0
GM/CORSA ST,15102.0
I/MMC OUTLANDER 2.0,15097.0
RENAULT/DUSTER 16 E 4X2,15071.0
FIAT/PALIO FIRE WAY,15061.0
RENAULT/CAPTUR LIFE 16 A,15044.0
GM/MONZA SL EFI,15043.0
IMP/GM ASTRA GLS,15042.0
VW/PARATI,15017.0
FIAT/STILO FLEX,14971.0
FIAT/DUCATO MINIBUS,14960.0
I/NISSAN SENTRA 20SV CVT,14888.0
GM/MONZA CLASSIC SE,14886.0
I/HYUNDAI TUCSON GLS 20L,14883.0
IMP/FORD FIESTA,14863.0
DAFRA/SUPER 100,14797.0
VW/24.280 CRM 6X2,14766.0
HONDA/XLX 350 R,14754.0
IVECO/DAILY 35S14HDCS,14717.0
VW/NOVO FOX CL MB,14676.0
I/FIAT PALIO FIRE ECONOM,14622.0
FORD/KA SE 1.0 SD B,14573.0
GM/CHEVETTE SE,14485.0
FIAT/PREMIO CS 1.5,14474.0
