RM,Ano,Produto,Valor_Venda
Região Metropolitana de Florianópolis,2013,GASOLINA,2.844200502397794
Região Metropolitana de Florianópolis,2013,GNV,1.9654334705075585
Região Metropolitana de Florianópolis,2014,DIESEL,2.5480106609808066
Região Metropolitana de Florianópolis,2014,DIESEL S10,2.685201137538792
Região Metropolitana de Florianópolis,2014,ALCOOL,2.4415843039378466
Região Metropolitana de Florianópolis,2014,GASOLINA,2.9734172395557197
Região Metropolitana de Florianópolis,2014,GNV,2.1267645051194584
Região Metropolitana de Florianópolis,2015,DIESEL,2.8172822085889537
Região Metropolitana de Florianópolis,2015,DIESEL S10,2.953574903474869
Região Metropolitana de Florianópolis,2015,ALCOOL,2.567249931637937
Região Metropolitana de Florianópolis,2015,GASOLINA,3.2750367722165685
Região Metropolitana de Florianópolis,2015,GNV,2.094729903536991
Região Metropolitana de Florianópolis,2016,DIESEL,2.977280205655511
Região Metropolitana de Florianópolis,2016,DIESEL S10,3.105359820089949
Região Metropolitana de Florianópolis,2016,ALCOOL,3.117563546187236
Região Metropolitana de Florianópolis,2016,GASOLINA,3.5560945205480086
Região Metropolitana de Florianópolis,2016,GNV,2.1474601018675763
Região Metropolitana de Florianópolis,2017,DIESEL,3.053860058309028
Região Metropolitana de Florianópolis,2017,DIESEL S10,3.189633093525162
Região Metropolitana de Florianópolis,2017,ALCOOL,3.280828996282488
Região Metropolitana de Florianópolis,2017,GASOLINA,3.752209821428624
Região Metropolitana de Florianópolis,2017,GNV,1.9661405295315724
Região Metropolitana de Florianópolis,2018,DIESEL,3.2977820025348508
Região Metropolitana de Florianópolis,2018,DIESEL S10,3.4686848101265815
Região Metropolitana de Florianópolis,2018,ALCOOL,3.4811738544474595
Região Metropolitana de Florianópolis,2018,GASOLINA,4.124453255017234
Região Metropolitana de Florianópolis,2018,GNV,2.3038745019920235
Região Metropolitana de Florianópolis,2019,DIESEL,3.5572608326253485
Região Metropolitana de Florianópolis,2019,DIESEL S10,3.657706329884449
Região Metropolitana de Florianópolis,2019,ALCOOL,3.623017921146977
Região Metropolitana de Florianópolis,2019,GASOLINA,4.121626086956557
Região Metropolitana de Florianópolis,2019,GNV,2.8316583710407115
Região Metropolitana de Fortaleza,2013,DIESEL S10,2.331069913919886
Região Metropolitana de Fortaleza,2013,ALCOOL,2.32339211660858
Região Metropolitana de Fortaleza,2013,GASOLINA,2.7932915891329477
Região Metropolitana de Fortaleza,2013,GNV,1.8821514726507729
Região Metropolitana de Fortaleza,2014,DIESEL S10,2.5781540366518003
Região Metropolitana de Fortaleza,2014,ALCOOL,2.449550890895723
Região Metropolitana de Fortaleza,2014,GASOLINA,2.972920419763848
Região Metropolitana de Fortaleza,2014,GNV,1.9414358974359014
Região Metropolitana de Fortaleza,2015,DIESEL S10,3.073944598930637
Região Metropolitana de Fortaleza,2015,ALCOOL,2.6842254779717845
Região Metropolitana de Fortaleza,2015,GASOLINA,3.4417460011564334
Região Metropolitana de Fortaleza,2015,GNV,2.3121264755480624
Região Metropolitana de Fortaleza,2016,DIESEL S10,3.2674009489919507
Região Metropolitana de Fortaleza,2016,ALCOOL,3.209431836248207
Região Metropolitana de Fortaleza,2016,GASOLINA,3.897426716839194
Região Metropolitana de Fortaleza,2016,GNV,2.607122033898308
Região Metropolitana de Fortaleza,2017,DIESEL S10,3.267696550341004
Região Metropolitana de Fortaleza,2017,ALCOOL,3.257671913836046
Região Metropolitana de Fortaleza,2017,GASOLINA,3.907046036829411
Região Metropolitana de Fortaleza,2017,GNV,2.757172981878081
Região Metropolitana de Fortaleza,2018,DIESEL S10,3.6354048722164136
Região Metropolitana de Fortaleza,2018,ALCOOL,3.578464504284031
Região Metropolitana de Fortaleza,2018,GASOLINA,4.469012321852752
Região Metropolitana de Fortaleza,2018,GNV,3.1850154061624543
Região Metropolitana de Fortaleza,2019,DIESEL S10,3.7914878938157317
Região Metropolitana de Fortaleza,2019,ALCOOL,3.6846122058824013
Região Metropolitana de Fortaleza,2019,GASOLINA,4.486301607996504
Região Metropolitana de Fortaleza,2019,GNV,3.614972327044043
Região Metropolitana de Goiânia,2013,DIESEL,2.2814440636474997
Região Metropolitana de Goiânia,2013,DIESEL S10,2.501844827586211
Região Metropolitana de Goiânia,2013,ALCOOL,1.9225352368003834
Região Metropolitana de Goiânia,2013,GASOLINA,2.8485135992746287
Região Metropolitana de Goiânia,2013,GNV,2.1969767441860455
Região Metropolitana de Goiânia,2014,DIESEL,2.5109383062254054
Região Metropolitana de Goiânia,2014,DIESEL S10,2.689858117326071
Região Metropolitana de Goiânia,2014,ALCOOL,2.127628299894334
Região Metropolitana de Goiânia,2014,GASOLINA,3.0953053797468084
Região Metropolitana de Goiânia,2014,GNV,2.3133863636363645
Região Metropolitana de Goiânia,2015,DIESEL,2.8331728183118954
Região Metropolitana de Goiânia,2015,DIESEL S10,2.9869168278530163
Região Metropolitana de Goiânia,2015,ALCOOL,2.2380518518518504
Região Metropolitana de Goiânia,2015,GASOLINA,3.3507160264900517
