Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
40,Outras,2435,PRIUS,2022,PRIUS,,
40,Outras,767,RAV4,2022,RAV4,,
40,Outras,765,SW4,2022,SW4,,
40,Outras,770,TUNDRA,2022,TUNDRA,,
40,Outras,2758,YARIS HATCH,2022,YARIS,HATCH,
40,Outras,2759,YARIS SEDAN,2022,YARIS,SEDAN,
29,Peugeot,397,106,2021,106,,
29,Peugeot,2636,2008,2021,2008,,
29,Peugeot,401,206,2021,206,,
29,Peugeot,400,206 CC,2021,206,CC,
29,Peugeot,820,206 SW,2021,206,SW,
29,Peugeot,948,207,2021,207,,
29,Peugeot,949,207 SEDAN,2021,207,SEDAN,
29,Peugeot,950,207 SW,2021,207,SW,
29,Peugeot,987,207 SW ESCAPADE,2021,207,SW,ESCAPADE
29,Peugeot,2419,208,2021,208,,
29,Peugeot,406,307,2021,307,,
29,Peugeot,840,307 CC,2021,307,CC,
29,Peugeot,886,307 SEDAN,2021,307,SEDAN,
29,Peugeot,407,307 SW,2021,307,SW,
29,Peugeot,2351,308,2021,308,,
29,Peugeot,2393,308 CC,2021,308,CC,
29,Peugeot,2743,EXPERT,2021,EXPERT,,
29,Peugeot,2323,RCZ,2021,RCZ,,
30,Porsche,2697,718 BOXSTER,2020,718,BOXSTER,
30,Porsche,2715,718 CAYMAN,2020,718,CAYMAN,
31,Renault,2717,CAPTUR,2022,CAPTUR,,
31,Renault,431,CLIO,2022,CLIO,,
31,Renault,432,CLIO SEDAN,2022,CLIO,SEDAN,
31,Renault,2320,DUSTER,2022,DUSTER,,
31,Renault,2652,DUSTER OROCH,2022,DUSTER,OROCH,
31,Renault,2243,FLUENCE,2022,FLUENCE,,
31,Renault,737,KANGOO,2022,KANGOO,,
31,Renault,736,KANGOO EXPRESS,2022,KANGOO,EXPRESS,
31,Renault,2727,KWID,2022,KWID,,
31,Renault,910,LOGAN,2022,LOGAN,,
31,Renault,739,MASTER,2022,MASTER,,
31,Renault,2497,MASTER CHASSI,2022,MASTER,CHASSI,
31,Renault,919,SANDERO,2022,SANDERO,,
31,Renault,2634,SANDERO STEPWAY,2022,SANDERO,STEPWAY,
31,Renault,438,SCENIC,2022,SCENIC,,
31,Renault,998,SYMBOL,2022,SYMBOL,,
31,Renault,2771,ZOE,2022,ZOE,,
238,Rolls-Royce,2599,WRAITH,2016,WRAITH,,
41,SsangYong,929,ACTYON,2018,ACTYON,,
41,SsangYong,930,ACTYON SPORTS,2018,ACTYON,SPORTS,
41,SsangYong,744,ISTANA,2018,ISTANA,,
