Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B,Combustivel
28,Nissan,721,FRONTIER,2019,Frontier 2.3 TD CD S 4x4,29353,Diesel,N/D,9.3,N/D,10.2,N/D,28-721-2019,28-721-29353-2019,DIESEL
28,Nissan,721,FRONTIER,2013,Frontier S 4x4,30452,Diesel,N/D,9.3,N/D,10.2,N/D,28-721-2013,28-721-30452-2013,DIESEL
28,Nissan,721,FRONTIER,2012,Frontier S 4x4,30452,Diesel,N/D,9.3,N/D,10.2,N/D,28-721-2012,28-721-30452-2012,DIESEL
28,Nissan,721,FRONTIER,2011,Frontier S 4x4,30452,Diesel,N/D,9.3,N/D,10.2,N/D,28-721-2011,28-721-30452-2011,DIESEL
31,Renault,910,LOGAN,2010,Logan 1.0 Life,30765,Álcool,Gasolina,9.3,13.6,10,14.2,31-910-2010,31-910-30765-2010,FLEX
36,Volkswagen,479,FUSCA,1964,Fusca 2.0 TSi DSG,25647,Gasolina,N/D,9.2,N/D,10.7,N/D,36-479-1964,36-479-25647-1964,GASOLINA
15,Ford,287,KA,2016,Ka 1.0 S,30330,Álcool,Gasolina,9.2,13.4,10.7,15.5,15-287-2016,15-287-30330-2016,FLEX
36,Volkswagen,479,FUSCA,1970,Fusca 2.0 TSi DSG,25647,Gasolina,N/D,9.2,N/D,10.7,N/D,36-479-1970,36-479-25647-1970,GASOLINA
36,Volkswagen,479,FUSCA,1969,Fusca 2.0 TSi DSG,25647,Gasolina,N/D,9.2,N/D,10.7,N/D,36-479-1969,36-479-25647-1969,GASOLINA
36,Volkswagen,488,PASSAT VARIANT,2012,Passat Variant 2.0 TSI DSG,12777,Gasolina,N/D,9.2,N/D,16.4,N/D,36-488-2012,36-488-12777-2012,GASOLINA
36,Volkswagen,479,FUSCA,1968,Fusca 2.0 TSi DSG,25647,Gasolina,N/D,9.2,N/D,10.7,N/D,36-479-1968,36-479-25647-1968,GASOLINA
36,Volkswagen,479,FUSCA,1967,Fusca 2.0 TSi DSG,25647,Gasolina,N/D,9.2,N/D,10.7,N/D,36-479-1967,36-479-25647-1967,GASOLINA
