Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
36,Volkswagen,480,GOL,2009,Gol 1.6 VHT Trendline (Flex) 4p,22567,,,,,,,36-480-2009,36-480-22567-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 VHT Trendline (Flex) 4p,22567,,,,,,,36-480-1997,36-480-22567-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 VHT Trendline (Flex) 4p,22567,,,,,,,36-480-1996,36-480-22567-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 VHT Trendline (Flex) 4p,22567,,,,,,,36-480-1995,36-480-22567-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC Trendline (Flex) 4p,22562,,,,,,,36-480-2010,36-480-22562-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC Trendline (Flex) 4p,22562,,,,,,,36-480-2009,36-480-22562-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC Trendline (Flex) 4p,22562,,,,,,,36-480-1997,36-480-22562-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC Trendline (Flex) 4p,22562,,,,,,,36-480-1996,36-480-22562-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 TEC Trendline (Flex) 4p,22562,,,,,,,36-480-1995,36-480-22562-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC City (Flex) 4p,22559,,,,,,,36-480-2010,36-480-22559-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC City (Flex) 4p,22559,,,,,,,36-480-2009,36-480-22559-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC City (Flex) 4p,22559,,,,,,,36-480-1997,36-480-22559-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC City (Flex) 4p,22559,,,,,,,36-480-1996,36-480-22559-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 TEC City (Flex) 4p,22559,,,,,,,36-480-1995,36-480-22559-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 TEC Rock in Rio (Flex),22424,,,,,,,36-480-2010,36-480-22424-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 TEC Rock in Rio (Flex),22424,,,,,,,36-480-2009,36-480-22424-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 TEC Rock in Rio (Flex),22424,,,,,,,36-480-1997,36-480-22424-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 TEC Rock in Rio (Flex),22424,,,,,,,36-480-1996,36-480-22424-1996
