RM,Ano,Combustivel,Quantidade
Região Metropolitana da Grande São Luís,2010,Volume_Venda_Gasolina,202832025.0
Região Metropolitana da Grande São Luís,2011,Volume_Venda_Alcool,20984844.0
Região Metropolitana da Grande São Luís,2011,Volume_Venda_Diesel,458128029.0
Região Metropolitana da Grande São Luís,2011,Volume_Venda_Gasolina,258248050.0
Região Metropolitana da Grande São Luís,2012,Volume_Venda_Alcool,11695000.0
Região Metropolitana da Grande São Luís,2012,Volume_Venda_Diesel,494706418.0
Região Metropolitana da Grande São Luís,2012,Volume_Venda_Gasolina,300747399.0
Região Metropolitana da Grande São Luís,2013,Volume_Venda_Alcool,12646831.0
Região Metropolitana da Grande São Luís,2013,Volume_Venda_Diesel,463793221.0
Região Metropolitana da Grande São Luís,2013,Volume_Venda_Gasolina,312609176.0
Região Metropolitana da Grande São Luís,2014,Volume_Venda_Alcool,19657613.0
Região Metropolitana da Grande São Luís,2014,Volume_Venda_Diesel,464054325.0
Região Metropolitana da Grande São Luís,2014,Volume_Venda_Gasolina,332786545.0
Região Metropolitana da Grande São Luís,2015,Volume_Venda_Alcool,25787670.0
Região Metropolitana da Grande São Luís,2015,Volume_Venda_Diesel,506955557.0
Região Metropolitana da Grande São Luís,2015,Volume_Venda_Gasolina,322824413.0
Região Metropolitana da Grande São Luís,2016,Volume_Venda_Alcool,12268000.0
Região Metropolitana da Grande São Luís,2016,Volume_Venda_Diesel,488661517.0
Região Metropolitana da Grande São Luís,2016,Volume_Venda_Gasolina,333999684.0
Região Metropolitana da Grande São Luís,2017,Volume_Venda_Alcool,8542678.0
Região Metropolitana da Grande São Luís,2017,Volume_Venda_Diesel,531384787.527843
Região Metropolitana da Grande São Luís,2017,Volume_Venda_Gasolina,344381560.0
Região Metropolitana da Grande São Luís,2018,Volume_Venda_Alcool,16191123.0
Região Metropolitana da Grande São Luís,2018,Volume_Venda_Diesel,583383290.0
Região Metropolitana da Grande São Luís,2018,Volume_Venda_Gasolina,337469400.0
Região Metropolitana da Grande São Luís,2019,Volume_Venda_Alcool,22725900.0
Região Metropolitana da Grande São Luís,2019,Volume_Venda_Diesel,551758640.0
Região Metropolitana da Grande São Luís,2019,Volume_Venda_Gasolina,330005520.0
Região Metropolitana da Grande Vitória,2000,Volume_Venda_Alcool,40752168.0
Região Metropolitana da Grande Vitória,2000,Volume_Venda_Diesel,364775450.0
Região Metropolitana da Grande Vitória,2000,Volume_Venda_Gasolina,316229865.0
Região Metropolitana da Grande Vitória,2001,Volume_Venda_Alcool,27769559.0
Região Metropolitana da Grande Vitória,2001,Volume_Venda_Diesel,398286454.0
Região Metropolitana da Grande Vitória,2001,Volume_Venda_Gasolina,251941245.0
Região Metropolitana da Grande Vitória,2002,Volume_Venda_Alcool,26492615.0
Região Metropolitana da Grande Vitória,2002,Volume_Venda_Diesel,390525001.0
Região Metropolitana da Grande Vitória,2002,Volume_Venda_Gasolina,281311888.0
Região Metropolitana da Grande Vitória,2003,Volume_Venda_Alcool,23495231.0
Região Metropolitana da Grande Vitória,2003,Volume_Venda_Diesel,390772189.0
Região Metropolitana da Grande Vitória,2003,Volume_Venda_Gasolina,232840238.0
Região Metropolitana da Grande Vitória,2004,Volume_Venda_Alcool,20104542.0
Região Metropolitana da Grande Vitória,2004,Volume_Venda_Diesel,389837914.0
Região Metropolitana da Grande Vitória,2004,Volume_Venda_Gasolina,228241297.0
Região Metropolitana da Grande Vitória,2005,Volume_Venda_Alcool,28589761.0
Região Metropolitana da Grande Vitória,2005,Volume_Venda_Diesel,407995469.0
Região Metropolitana da Grande Vitória,2005,Volume_Venda_Gasolina,239452257.0
Região Metropolitana da Grande Vitória,2006,Volume_Venda_Alcool,24518708.0
Região Metropolitana da Grande Vitória,2006,Volume_Venda_Diesel,449816971.13631636
Região Metropolitana da Grande Vitória,2006,Volume_Venda_Gasolina,258391816.0
Região Metropolitana da Grande Vitória,2007,Volume_Venda_Alcool,43364446.0
Região Metropolitana da Grande Vitória,2007,Volume_Venda_Diesel,429727974.00000054
Região Metropolitana da Grande Vitória,2007,Volume_Venda_Gasolina,248276506.0
Região Metropolitana da Grande Vitória,2008,Volume_Venda_Alcool,82348954.9423821
Região Metropolitana da Grande Vitória,2008,Volume_Venda_Diesel,487123885.8441996
Região Metropolitana da Grande Vitória,2008,Volume_Venda_Gasolina,247003253.0
Região Metropolitana da Grande Vitória,2009,Volume_Venda_Alcool,103920480.0
Região Metropolitana da Grande Vitória,2009,Volume_Venda_Diesel,446845904.0
Região Metropolitana da Grande Vitória,2009,Volume_Venda_Gasolina,262850645.0
Região Metropolitana da Grande Vitória,2010,Volume_Venda_Alcool,48834992.0
