Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
35,Toyota,904,COROLLA FIELDER,1997,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1996,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1995,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1994,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1993,COROLLA,FIELDER
35,Toyota,904,COROLLA FIELDER,1992,COROLLA,FIELDER
35,Toyota,469,COROLLA WAGON,2022,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2021,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2020,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2019,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2018,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2017,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2016,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2015,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2014,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2013,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2012,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2011,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2010,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2009,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2008,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2007,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2006,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2005,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2004,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2003,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2002,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2001,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,2000,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1999,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1998,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1997,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1996,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1995,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1994,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1993,COROLLA,WAGON
35,Toyota,469,COROLLA WAGON,1992,COROLLA,WAGON
35,Toyota,2417,ETIOS HATCH,2022,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2021,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2020,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2019,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2018,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2017,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2016,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2015,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2014,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2013,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2012,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2011,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2010,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2009,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2008,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2007,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2006,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2005,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2004,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2003,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2002,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2001,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,2000,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1999,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1998,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1997,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1996,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1995,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1994,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1993,ETIOS,HATCH
35,Toyota,2417,ETIOS HATCH,1992,ETIOS,HATCH
35,Toyota,2418,ETIOS SEDAN,2022,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2021,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2020,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2019,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2018,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2017,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2016,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2015,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2014,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2013,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2012,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2011,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2010,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2009,ETIOS,SEDAN
