Marca_Cod,Modelo_Cod,Ano,Chave_A
27,380,2010,27-380-2010
27,2763,2018,27-2763-2018
27,2763,2017,27-2763-2017
27,2763,2016,27-2763-2016
27,2763,2015,27-2763-2015
27,2763,2014,27-2763-2014
27,2763,2013,27-2763-2013
27,2763,2012,27-2763-2012
27,2763,2011,27-2763-2011
27,2763,2010,27-2763-2010
27,2763,2009,27-2763-2009
27,2763,2008,27-2763-2008
27,381,2021,27-381-2021
27,381,2020,27-381-2020
27,381,2019,27-381-2019
27,381,2018,27-381-2018
27,381,2017,27-381-2017
27,381,2016,27-381-2016
27,381,2015,27-381-2015
27,381,2014,27-381-2014
27,381,2013,27-381-2013
27,381,2012,27-381-2012
27,381,2011,27-381-2011
27,381,2010,27-381-2010
27,381,2009,27-381-2009
27,381,2008,27-381-2008
27,382,2021,27-382-2021
27,382,2020,27-382-2020
27,382,2019,27-382-2019
27,382,2018,27-382-2018
27,382,2017,27-382-2017
27,382,2016,27-382-2016
27,382,2015,27-382-2015
27,382,2014,27-382-2014
27,382,2013,27-382-2013
27,382,2012,27-382-2012
27,382,2011,27-382-2011
27,382,2010,27-382-2010
27,382,2009,27-382-2009
27,382,2008,27-382-2008
27,383,2021,27-383-2021
27,383,2020,27-383-2020
27,383,2019,27-383-2019
27,383,2018,27-383-2018
27,383,2017,27-383-2017
27,383,2016,27-383-2016
27,383,2015,27-383-2015
27,383,2014,27-383-2014
27,383,2013,27-383-2013
27,383,2012,27-383-2012
27,383,2011,27-383-2011
27,383,2010,27-383-2010
27,383,2009,27-383-2009
27,383,2008,27-383-2008
27,858,2021,27-858-2021
27,858,2020,27-858-2020
27,858,2019,27-858-2019
27,858,2018,27-858-2018
27,858,2017,27-858-2017
27,858,2016,27-858-2016
27,858,2015,27-858-2015
27,858,2014,27-858-2014
27,858,2013,27-858-2013
27,858,2012,27-858-2012
27,858,2011,27-858-2011
27,858,2010,27-858-2010
27,858,2009,27-858-2009
27,707,2021,27-707-2021
27,707,2020,27-707-2020
27,707,2019,27-707-2019
27,707,2018,27-707-2018
27,707,2017,27-707-2017
27,707,2016,27-707-2016
27,707,2015,27-707-2015
27,707,2014,27-707-2014
27,707,2013,27-707-2013
27,1109,2020,27-1109-2020
27,1109,2019,27-1109-2019
27,1109,2018,27-1109-2018
27,1109,2017,27-1109-2017
27,1109,2016,27-1109-2016
27,1109,2015,27-1109-2015
27,1109,2014,27-1109-2014
27,1109,2013,27-1109-2013
27,710,2021,27-710-2021
27,710,2020,27-710-2020
27,710,2019,27-710-2019
27,710,2018,27-710-2018
27,710,2017,27-710-2017
27,710,2016,27-710-2016
27,710,2015,27-710-2015
27,710,2014,27-710-2014
27,710,2013,27-710-2013
27,710,2012,27-710-2012
27,710,2011,27-710-2011
27,710,2010,27-710-2010
27,710,2009,27-710-2009
27,710,2008,27-710-2008
27,384,2021,27-384-2021
27,384,2020,27-384-2020
27,384,2011,27-384-2011
27,384,2010,27-384-2010
27,384,2009,27-384-2009
27,866,2021,27-866-2021
27,866,2020,27-866-2020
27,866,2019,27-866-2019
27,866,2018,27-866-2018
27,866,2017,27-866-2017
27,866,2016,27-866-2016
27,866,2009,27-866-2009
27,2325,2021,27-2325-2021
27,2325,2020,27-2325-2020
27,2325,2019,27-2325-2019
27,2325,2018,27-2325-2018
27,2325,2017,27-2325-2017
27,2325,2016,27-2325-2016
27,2325,2015,27-2325-2015
27,2325,2014,27-2325-2014
27,2325,2013,27-2325-2013
27,2325,2012,27-2325-2012
27,2325,2011,27-2325-2011
27,2325,2008,27-2325-2008
27,385,2021,27-385-2021
27,385,2020,27-385-2020
27,385,2019,27-385-2019
27,385,2018,27-385-2018
27,385,2017,27-385-2017
27,385,2016,27-385-2016
27,385,2015,27-385-2015
27,385,2014,27-385-2014
27,385,2013,27-385-2013
27,385,2012,27-385-2012
27,385,2011,27-385-2011
27,385,2010,27-385-2010
27,385,2009,27-385-2009
27,385,2008,27-385-2008
27,711,2021,27-711-2021
27,711,2020,27-711-2020
27,711,2019,27-711-2019
27,711,2018,27-711-2018
27,711,2017,27-711-2017
27,711,2016,27-711-2016
27,711,2015,27-711-2015
27,711,2014,27-711-2014
27,711,2013,27-711-2013
27,711,2012,27-711-2012
27,711,2011,27-711-2011
27,711,2010,27-711-2010
27,711,2009,27-711-2009
27,711,2008,27-711-2008
27,2827,2021,27-2827-2021
27,2827,2020,27-2827-2020
27,2827,2019,27-2827-2019
27,2827,2018,27-2827-2018
27,2827,2017,27-2827-2017
27,2827,2016,27-2827-2016
27,2827,2015,27-2827-2015
27,2827,2014,27-2827-2014
27,2827,2013,27-2827-2013
27,2827,2012,27-2827-2012
27,2827,2011,27-2827-2011
27,2827,2010,27-2827-2010
27,2827,2009,27-2827-2009
27,2827,2008,27-2827-2008
27,712,2021,27-712-2021
27,712,2020,27-712-2020
27,712,2019,27-712-2019
27,712,2015,27-712-2015
27,712,2014,27-712-2014
27,712,2013,27-712-2013
27,712,2012,27-712-2012
27,712,2011,27-712-2011
27,712,2010,27-712-2010
27,712,2009,27-712-2009
27,712,2008,27-712-2008
27,1032,2021,27-1032-2021
27,1032,2020,27-1032-2020
27,1032,2019,27-1032-2019
27,1032,2018,27-1032-2018
27,1032,2017,27-1032-2017
27,1032,2016,27-1032-2016
27,1032,2008,27-1032-2008
27,875,2021,27-875-2021
27,876,2017,27-876-2017
27,876,2016,27-876-2016
27,876,2015,27-876-2015
27,876,2014,27-876-2014
27,876,2013,27-876-2013
27,876,2012,27-876-2012
27,876,2011,27-876-2011
27,876,2010,27-876-2010
27,876,2009,27-876-2009
27,876,2008,27-876-2008
27,874,2021,27-874-2021
27,874,2020,27-874-2020
27,874,2019,27-874-2019
27,874,2018,27-874-2018
27,874,2017,27-874-2017
27,874,2016,27-874-2016
27,874,2015,27-874-2015
27,718,2021,27-718-2021
27,718,2020,27-718-2020
27,718,2019,27-718-2019
27,718,2018,27-718-2018
27,718,2017,27-718-2017
27,718,2016,27-718-2016
27,718,2015,27-718-2015
27,718,2014,27-718-2014
27,718,2013,27-718-2013
27,718,2012,27-718-2012
27,718,2011,27-718-2011
27,718,2010,27-718-2010
